time,y_1,y_2,width,y
650,5.195,4.789,3,8.4811111111
920,12.2666666667,12.2666666667,3,13.446
125,0.70875,0.9440000000000001,2,0.9444444444
1000,12.833,14.425999999999998,3,14.3511111111
770,7.535,10.038,2,10.189
980,13.05,11.6875,3,15.2
865,18.160999999999998,15.482999999999999,3,22.055999999999997
280,2.43,2.3644444444,3,3.0425
1130,9.323,9.323,3,8.051
875,10.556,9.493,3,9.776
990,18.344,18.243,3,20.511
140,0.23399999999999999,0.23399999999999999,3,0.634
1285,5.982,6.016,3,5.737
1055,20.19,22.131999999999998,3,22.61
165,0.3085714286,0.32,3,0.7575
455,18.239,18.667,3,24.115
135,0.8388888889,0.9444444444,2,0.4388888889
605,9.11,9.11,3,4.25625
1435,0.912,1.139,2,0.65
955,13.815,12.401111111099999,3,10.387
840,7.9633333333000005,7.9633333333000005,3,6.9455555555999995
790,6.729,6.843,3,7.928999999999999
580,7.428999999999999,7.751,2,9.399
1205,7.466,7.195,3,8.067
85,0.579,0.37799999999999995,3,0.512
375,11.372,7.127000000000001,2,9.4
25,0.706,0.75,2,1.084
720,11.633,11.07,3,9.578
40,0.84,0.675,3,0.67375
1330,3.122,3.199,2,2.722
1065,15.265999999999998,14.1922222222,3,12.18
1345,3.117,2.3040000000000003,2,2.877
780,6.638,9.878,2,7.757000000000001
245,0.588,0.516,3,0.522
590,8.111,8.823,2,8.307
1010,13.322000000000001,14.477,2,11.722999999999999
1390,3.4160000000000004,2.782,3,3.0380000000000003
565,9.998,10.695,3,12.687999999999999
1070,13.267000000000001,15.164000000000001,3,12.1477777778
865,8.5,9.6411111111,3,10.7025
685,6.8,7.406000000000001,2,8.062000000000001
1405,1.473,1.7169999999999999,3,1.3659999999999999
915,11.234000000000002,11.234000000000002,3,12.2666666667
155,0.32,0.21428571429999999,2,0.6733333333
1130,8.662,9.317,2,7.127999999999999
825,14.300999999999998,13.434000000000001,3,12.599
1260,4.9388888889,5.22375,3,4.72875
50,0.5055555556,0.5055555556,2,0.649
425,6.6288888889,5.178999999999999,3,6.9688888889
655,4.402222222200001,5.2775,3,6.6428571429
1360,2.3516666667,2.4330000000000003,3,2.8
425,11.020999999999999,12.705,3,11.555
1060,22.61,20.19,3,22.028000000000002
1245,7.132999999999999,6.656000000000001,3,5.7829999999999995
395,8.917,9.812000000000001,2,12.012
60,0.4755555556,0.6922222222,2,0.5811111111
250,1.501,1.05,2,2.072
545,7.051,7.655,2,7.817
235,1.062,1.062,3,0.5255555556
1085,27.05,25.454,3,15.279000000000002
185,0.39,0.634,3,0.24
640,4.0488888889,4.0488888889,3,5.4066666667
0,1.077,1.044,3,1.81
835,8.3888888889,8.3888888889,3,7.9633333333000005
1185,5.162000000000001,4.901,3,5.456
15,0.95,1.571,3,1.301
1380,2.294,2.544,3,2.282
475,11.128,12.745,2,10.012
1390,1.729,1.9609999999999999,2,1.6909999999999998
465,6.056,6.674444444400001,3,7.065
265,2.634,2.293,2,3.245
610,8.662,6.25,2,7.101
225,1.173,1.061,2,1.278
100,0.161,0.2411111111,2,0.37
630,8.577,9.235,3,9.406
